@RELATION movies

@ATTRIBUTE director_facebook_likes 	{Low,Average,High}
@ATTRIBUTE highest_actor_rating 	{A,B,C,D,F}}
@ATTRIBUTE genre	{Sci-Fi,Action,Animation,Family,Documentary,Romance,Comedy,Drama,Horror,Thriller}
@ATTRIBUTE content_rating 	{Approved,G,NC-17,PG,PG-13,R,Unrated}
@ATTRIBUTE budget 	{Low,Medium,High}
@ATTRIBUTE imdb_score	{Excellent,Good,Above_Average,Average,Below_Average,Poor,Awful}

@DATA
High,C,Comedy,R,Low,Average
High,B,Thriller,PG-13,High,Good
High,C,Thriller,PG-13,High,Excellent
High,D,Sci-Fi,PG-13,High,Good
High,B,Sci-Fi,PG-13,High,Good
High,C,Action,PG-13,High,Good
High,D,Thriller,R,High,Above_Average
High,C,Sci-Fi,PG-13,High,Good
High,F,Thriller,R,Low,Good
High,D,Romance,PG-13,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,D,Drama,R,High,Good
High,F,Thriller,R,High,Good
High,F,Horror,R,High,Average
High,F,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Average
High,D,Drama,PG-13,High,Above_Average
High,D,Thriller,R,Medium,Good
High,C,Drama,PG-13,Medium,Average
High,C,Drama,PG-13,Medium,Above_Average
High,C,Drama,PG-13,Medium,Above_Average
High,D,Thriller,R,Low,Average
High,C,Family,PG,High,Above_Average
High,B,Drama,PG-13,High,Above_Average
High,B,Comedy,R,High,Good
High,B,Drama,R,High,Above_Average
High,B,Thriller,R,High,Good
High,B,Thriller,R,High,Good
High,C,Drama,R,High,Good
High,C,Thriller,R,Low,Above_Average
High,C,Thriller,R,High,Above_Average
High,F,Romance,PG,Medium,Above_Average
High,D,Thriller,R,High,Average
High,F,Action,PG-13,Medium,Above_Average
High,C,Drama,R,Medium,Good
High,C,Drama,R,Medium,Good
High,C,Romance,PG,Medium,Average
High,D,Drama,R,Medium,Above_Average
High,F,Drama,R,Low,Above_Average
High,C,Drama,R,Low,Good
High,B,Action,R,High,Good
High,D,Action,R,High,Good
High,C,Thriller,PG-13,High,Average
High,A,Action,R,High,Above_Average
High,D,Drama,PG-13,High,Above_Average
High,D,Thriller,R,High,Above_Average
High,F,Action,R,Medium,Good
High,F,Thriller,R,Medium,Good
High,D,Thriller,R,High,Above_Average
High,C,Action,R,High,Above_Average
High,C,Thriller,R,High,Average
High,D,Romance,PG-13,High,Average
High,C,Thriller,R,High,Average
High,F,Drama,R,High,Average
High,B,Drama,R,High,Average
High,C,Thriller,R,Medium,Average
High,F,Thriller,R,Medium,Good
High,C,Drama,PG-13,Medium,Good
High,C,Drama,R,Medium,Good
High,C,Romance,PG-13,High,Above_Average
High,C,Thriller,PG,Medium,Below_Average
High,C,Action,R,Medium,Good
High,F,Action,R,Medium,Above_Average
High,C,Thriller,R,Medium,Above_Average
High,D,Drama,R,Low,Good
High,C,Action,R,Low,Above_Average
High,C,Action,R,Low,Above_Average
High,C,Thriller,R,Low,Good
High,D,Comedy,PG-13,Medium,Average
High,D,Comedy,PG,Medium,Average
High,C,Sci-Fi,PG-13,High,Above_Average
High,D,Romance,PG-13,High,Average
High,C,Thriller,PG-13,High,Average
High,B,Sci-Fi,PG-13,High,Good
High,D,Sci-Fi,PG-13,High,Average
High,F,Family,PG,High,Above_Average
High,D,Sci-Fi,PG-13,High,Above_Average
High,F,Sci-Fi,PG-13,High,Above_Average
High,F,Sci-Fi,PG-13,High,Average
High,D,Comedy,PG-13,High,Above_Average
High,A,Family,PG,High,Average
High,B,Action,PG-13,High,Above_Average
High,D,Action,R,High,Good
High,C,Action,PG-13,High,Above_Average
High,F,Sci-Fi,PG-13,High,Good
High,B,Drama,PG-13,High,Good
High,F,Sci-Fi,PG-13,High,Above_Average
High,D,Romance,PG-13,High,Good
High,D,Thriller,PG-13,High,Above_Average
High,D,Drama,R,High,Above_Average
High,C,Comedy,PG,High,Below_Average
High,D,Action,PG,Medium,Above_Average
High,D,Drama,R,Medium,Good
High,D,Action,PG,Medium,Good
High,F,Sci-Fi,PG,Medium,Above_Average
High,F,Drama,PG-13,Medium,Above_Average
High,F,Thriller,PG,Low,Good
High,F,Family,PG,Low,Above_Average
High,A,Family,PG,High,Average
High,A,Family,PG,High,Average
High,A,Horror,PG-13,High,Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,B,Thriller,R,High,Average
High,F,Action,PG-13,High,Above_Average
High,C,Sci-Fi,PG-13,High,Average
High,D,Romance,PG-13,High,Good
High,F,Animation,PG,High,Above_Average
High,F,Action,PG-13,High,Above_Average
High,A,Animation,PG,High,Above_Average
High,D,Drama,PG,Medium,Above_Average
High,A,Romance,PG-13,Medium,Above_Average
High,F,Horror,R,Low,Good
High,A,Comedy,R,Medium,Above_Average
High,F,Romance,PG,Medium,Above_Average
High,D,Romance,PG-13,Low,Above_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,F,Thriller,PG,Low,Average
High,F,Thriller,PG,Low,Average
High,F,Thriller,Approved,Low,Average
High,A,Family,PG,High,Average
